Unnamed: 0,hotel_name,hotel_address,latitude,longitude
52,Paris XV Multire - appartamento bilocale 4 posti,"20 Rue d'Oradour-sur-Glane, 75015 Paris, France",48.8310245,2.2827732
53,Hipotel Paris Voltaire Bastille,"132 boulevard Voltaire, 11th arr., 75011 Paris, France",48.85732465,2.38058925
54,Square Villaret Studio,"6 Square Villaret de Joyeuse, 17th arr., 75017 Paris, France",48.8774547,2.289234
55,Dreamyflat - Bastille,"Rue du Faubourg Saint-Antoine, 12th arr., 75011 Paris, France",48.850359,2.381966
56,Hipotel Lilas Gambetta,"223, avenue Gambetta, 20th arr., 75020 Paris, France",48.87428517,2.40526691
57,Studio Arc de Triomphe,"47 Rue des Acacias, 17th arr., 75017 Paris, France",48.8780936,2.2934661
58,Aparthotel Adagio Porte de Versailles,"16, rue Eliane Jeannin Garreau, 92130 Paris, France",48.8310834,2.28104442
59,All Suites Appart & Hotel Paris 13 Porte d'Italie,"17 Rue Gerda Taro, 13th arr., 75013 Paris, France",48.816777,2.3576
60,Hôtel Apollo Opéra,"32 rue de Douai, 9th arr., 75009 Paris, France",48.88260277,2.3326984
61,Hôtel Coypel by Magna Arbor,"142 boulevard de l'hôpital, 13th arr., 75013 Paris, France",48.83337765,2.35659443
62,Hipotel Paris Père-Lachaise République,"37 Rue Servan, 11th arr., 75011 Paris, France",48.86128242,2.38266282
63,Hôtel Renoir Montparnasse,"39 rue de Montparnasse, 14th arr., 75014 Paris, France",48.84275077,2.32621416
64,Aparthotel Adagio Paris XV,"20, rue d'Oradour-sur-Glane, 15th arr., 75015 Paris, France",48.83130941,2.28234261
65,1 Bedroom RDC - Sacre Coeur,"92 Rue Marguerite de Rochechouart, 9th arr., 75009 Paris, France",48.88297,2.3470728
66,Adagio Paris 19ème Cité de la Musique,"28 Boulevard d'Indochine, 19th arr., 75019 Paris, France",48.8848337,2.3974014
67,"Villa Borghese, The Originals Relais","Avenue des Thermes, 04800 Gréoux-les-Bains, France",43.75813877,5.89472026
68,Hôtel Les Deux Lions,"241 Rue Hilarion Bourret, 04500 Riez, France",43.81530926,6.09147906
69,Résidence les Grands Pins,"Chemin Babaou, 04800 Gréoux-les-Bains, France",43.7556009,5.89457542
70,Hotel Le Provence - Restaurant Le Styx,"Route de la Maline LE VILLAGE, 04120 La Palud sur Verdon, France",43.77898012,6.34123349
71,Le Verdon,"43, avenue du Colombier, 04800 Gréoux-les-Bains, France",43.75820852,5.8968915
72,Belambra Clubs Montpezat - Le Verdon,"Montpezat, 04500 Montagnac, France",43.7503892,6.08834624
73,Le Relais Notre Dame,"Route de Montmeyan, 04500 Quinson, France",43.69908887,6.03723943
74,Hotel Grand Canyon du Verdon,"Falaise des Cavaliers, 83630 Aiguines, France",43.75062075,6.32130259
75,Hôtel Le Colombier,"Quartier Saint Michel, 04360 Moustiers-Sainte-Marie, France",43.8398124,6.22183442
