city,latitude,longitude,timepoint,feels_like,humidity,wind_speed,city_id,main_weather,main_weather_scores,final_score,lon,lat
Marseille,43.2961743,5.3699525,1719635400.0,23.87325,68.65,4.85025,24.0,clear sky,5.0,450.0,5.3699525,43.2961743
Saintes Maries de la mer,43.4522771,4.4287172,1719635400.0,22.444499999999998,76.95,3.978,30.0,clear sky,5.0,448.0,4.4287172,43.4522771
Avignon,43.9492493,4.8059012,1719635400.0,25.2755,60.775,4.25525,6.0,clear sky,5.0,446.0,4.8059012,43.9492493
Cassis,43.2140359,5.5396318,1719635400.0,22.98775,68.575,4.70875,13.0,clear sky,5.0,441.0,5.5396318,43.2140359
Bormes les Mimosas,43.1506968,6.3419285,1719635400.0,23.006999999999998,67.6,3.48975,11.0,clear sky,5.0,433.0,6.3419285,43.1506968
